CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
26,부산,26350,해운대구,나아짐운동센터,0517311933,48097,부산광역시 해운대구 좌동순환로 473,나아짐 운동센터(중동),03,기타종목,129.1696297,35.1634756,장애인강좌,,
26,부산,26470,연제구,부산곰두리스포츠센터,0515036363,47529,부산광역시 연제구 화지로 109,부산곰두리스포츠센터(거제동),12,수영,129.0657322,35.1852386,장애인강좌,,
26,부산,26500,수영구,부산STAPS,,48268,부산광역시 수영구 수영로 658-4,B1(광안동),03,기타종목,129.1147640,35.1642660,장애인강좌,,
26,부산,26320,북구,승리마루백양태권도장,0513310030,46611,부산광역시 북구 덕천로276번길 60,"316호(만덕동, 백양산동문굿모닝힐)",22,태권도,129.0326750,35.2076310,장애인강좌,,
26,부산,26350,해운대구,강지성프로9단바둑학원,0517013279,48106,부산광역시 해운대구 세실로 87,502호강지성바둑학원(좌동),03,기타종목,129.1760483,35.1722169,장애인강좌,,
26,부산,26500,수영구,라온태권도,0519609411,48209,부산광역시 수영구 과정로41번길 65,(망미동),22,태권도,129.1038196,35.1751348,장애인강좌,,
26,부산,26290,남구,형제3태권도,0516287070,48572,부산광역시 남구 용호로198번길 39,"동방파크상가 301호 형제3태권도(용호동, 동방파크맨션)",22,태권도,129.1082351,35.1149481,장애인강좌,,
26,부산,26350,해운대구,커브스 좌동클럽,0517049001,48078,부산광역시 해운대구 좌동순환로 176,장산빌딩3층 커브스 좌동클럽(좌동),03,기타종목,129.1752970,35.1775650,장애인강좌,,
26,부산,26260,동래구,주식회사 더나아짐,0515588823,47813,부산광역시 동래구 명륜로112번길 108,1층2층3층,75,합기도,129.0887440,35.2024051,장애인강좌,,
26,부산,26290,남구,(주)장돌,0516280558,48439,부산광역시 남구 수영로219번길 29,2층(대연동),25,헬스,129.0903127,35.1365560,장애인강좌,,
26,부산,26230,부산진구,주식회사 바이탈필라테스,0518089005,47300,부산광역시 부산진구 중앙대로666번길 50,"1층301호(부전동, 더샵 센트럴스타)",79,필라테스,129.0609104,35.1519683,장애인강좌,,
26,부산,26260,동래구,골든태권도장,0515545550,47720,부산광역시 동래구 금강로 15,4층 골든태권도장(온천동),22,태권도,129.0727082,35.2127795,장애인강좌,,
26,부산,26290,남구,유엔탁구장,0516250501,48505,부산광역시 남구 유엔평화로 35-1,2층 유엔탁구장(대연동),21,탁구,129.0923061,35.1317758,장애인강좌,,
26,부산,26230,부산진구,라틴피버,0518023699,47289,부산광역시 부산진구 서면로 4,2층(부전동),07,댄스,129.0581347,35.1509356,장애인강좌,,
